"When did the stoichiometry reach its maximum value?","StoichiometryResult;hasValue;float"
"When did s_temp reach its maximum value?","Anode;hasPart;FuelCellStack"
"When was the stoichiometry of the anode more than 7?","FeatureOfInterest;isFeatureOfInterestOf;Observation;hasResult;Result"
"When was the relative humidity of the anode more than 101?","RelativeHumiditySensor;isHostedBy;Platform"
"When was the temperature of stack2 minimum and what was this value?","TemperatureSensor;isHostedBy;Platform"
"When did the system start to degrade? ","FailureMode;isPropertyOf;FuelCellSystem"
"When did the membrane start to suffer from mechanical stress?","FuelCell;hasPart;Membrane"
"When was it suggested to decrease the temperature?","CurrentSensor;observes;ObservableProperty"
"Why was it suggested to decrease the temperature?","CurrentSensor;observes;ObservableProperty"
"When was the system in membrane mechanical stress?","FuelCellSystem;isInState;State;indicatesMode;Mode;isPropertyOf;FeatureOfInterest"
"When did the relative humidity measurements of the cathode become invalid?","FeatureOfInterest;isFeatureOfInterestOf;Observation;hasResult;Result;isValid;boolean_value"
"Until what point were the humidity change measurements valid? ","CalculatedValue;isValid;boolean"
"When did the humidity sensor of the cathode become urneliable?","Platform;hosts;Sensor"
"Which sensors were unreliable at the 2''?","Sensor;madeObservation;Observation;hasResult;Result"
"Were there any unreliable sensors before the 2''?","Sensor;madeObservation;Observation;hasResult;Result"
"What was the maximum relative humidity valid value?","Sensor;hasOutput;SensorOutput;isValid;boolean"
"Return the valid measurements of  rh_air after the 1 sec","Sensor;hasOutput;SensorOutput;isValid;boolean"
"Until what point were rh_air measurements valid?","Sensor;hasOutput;SensorOutput;isValid;boolean"
"When was the temperature of stack2 minimum and what was this value?","TemperatureSensor;isHostedBy;Platform"
"What was the maximum relative humidity valid value?","Sensor;hasOutput;SensorOutput;isValid;boolean"
"Return the valid outputs of rh_air","Sensor;hasOutput;SensorOutput;isValid;boolean"
"Return only the outputs of the reliable sensors","CalculatedValue;isCalculatedFrom;Sensor"
"Return only the valid outputs of the sensors","Sensor;hasOutput;SensorOutput;isValid;boolean"
"Return all valid sensor measurements before the 2nd sec","Sensor;hasOutput;SensorOutput;isValid;boolean"
"What is the voltage cycle number of the stacks in the system?",
"Return the valid measurements of rh_air before the 10th sec","Sensor;hasOutput;SensorOutput;isValid;boolean"
"Where are the relative humidity sensors placed?","RelativeHumiditySensorOutput;isOutputOf;Sensor"
"Return all components of stack1","Anode;hasPart;FuelCellStack"
"Were there any unreliable sensors between 1'' and 2''?","Sensor;madeObservation;Observation;hasResult;Result"
"What is the minimum/maximum temperature that stack2 has reached?","Anode;hasPart;FuelCellStack"
"What is the minimum/maximum temperature that any stack of the system has reached?","ObservableProperty;isObservedBy;Sensor;usedForCalculationOf;CalculatedValue;describes;State;indicatesMode;Mode;isPropertyOf;FuelCellSystem"
"Which components of the system have a temperature more than 30C?","ObservableProperty;isObservedBy;Sensor;usedForCalculationOf;CalculatedValue;describes;State;indicatesMode;Mode;isPropertyOf;FuelCellSystem"
"Which sensors monitored temperatures more than 30C?","ObservableProperty;isObservedBy;Sensor"
"Which sensors monitored temperatures more than 30C and when was that?","ObservableProperty;isObservedBy;Sensor"
"Which components of the system have a temperature of more than 30C and what was the voltage at that point?","FailureMode;isPropertyOf;FuelCellSystem"
"Is the humidity change value at 2.2'' valid?","Observation;hasResult;Result"
"Which sensors monitor the system?",
"Which sensors monitor the system?",
"Which sensors monitor the system?",
"Which sensors monitor the system?",
"Which sensors monitor the system?",
"Which sensors monitor the system?","Observation;madeBySensor;Sensor"
"Which sensors monitor the system?","Observation;madeBySensor;Sensor"
"Were the I_s measurements before the 2'' valid?","Sensor;madeObservation;Observation;hasResult;Result;hasValue;float_value"
"Is the anode humidity change value at 2.2'' valid?","FeatureOfInterest;isFeatureOfInterestOf;Observation;hasResult;Result;hasValue;float_value"
"Are there any temperature sensors with output more than 30 C?","ObservableProperty;isObservedBy;Sensor;madeObservation;Observation;hasResult;Result;hasValue;float_value"
"Which sensors showed temperature more than 30?",
"Which sensors showed temperature more than 30 and what is their output?","ObservableProperty;isObservedBy;Sensor;madeObservation;Observation;hasResult;Result;hasValue;float_value"
"Are there any reliable sensors (now)?",
